DateTime,AddedIPs,RemovedIPs
1551405902,256,3327
1551406502,7,6
1551410119,5,23
1551413587,11,2
1551417319,4,5
1551420920,2,5
1551424458,3,6
1551428102,5,9
1551431524,5,5
1551435147,7,3
1551438921,6,6
1551442519,6,5
1551445202,2560,17664
1551445932,5,3
1551446702,1,1
1551447602,1,1
1551449719,4,5
1551453302,2,15
1551454220,1,1
1551454802,1,1
1551456686,5,4
1551458402,768,768
1551460514,9,4
1551463952,12,5
1551467714,263,262
1551471315,2,2
1551474722,4,2
1551478319,3,10
1551482117,7,7
1551483302,512,512
1551485718,7,11
1551487199,512,512
1551487502,1,1
1551488102,1,0
1551489102,18,5
1551492002,1,1
1551492729,7,8
1551492902,1,0
1551496520,3,14
1551499930,5,25
1551503466,7,3
1551507320,6,3
1551510691,3,2
1551514520,5,2
1551517910,2,1
1551521719,1,2
1551525102,3,2
1551526220,1,1
1551528702,1,2
1551531302,0,28160
1551532272,5,1
1551535888,1,5
1551539720,2,4
1551543321,3,5
1551544708,1536,1536
1551550333,2,2
1551553218,512,512
1551554102,5,2
1551555017,256,256
1551557456,4,1
1551561316,2,2
1551562761,256,256
1551564734,1,2
1551568518,2,4
1551569418,256,256
1551572103,35,3
1551573018,513,513
1551573920,1,0
1551576602,4,0
1551576903,256,256
1551579320,2,6
1551582919,2,26
1551586300,5,4
1551590120,7,5
1551593489,5,5
1551597320,5,4
1551600701,4,4
1551604333,6,3
1551606321,0,1
1551606902,1,0
1551607866,0,1
1551611465,3,1
1551615321,2,4
1551617702,7680,11264
1551618920,2,1
1551621002,256,256
1551622520,2,1
1551626102,3,2
1551629720,2,5
1551633303,1,1
1551634518,1280,1280
1551636902,3,2
1551639902,256,256
1551640276,1,2
1551641897,256,256
1551644102,3,2
1551647716,3,2
1551651318,4,3
1551654916,3,5
1551655817,256,256
1551657902,0,1
1551658502,9,2
1551659419,256,256
1551662102,11,3
1551665703,2,4
1551669320,7,5
1551672903,4,6
1551676273,5,5
1551679858,1,7
1551683102,1,1
1551683468,4,6
1551684302,1,0
1551684902,256,256
1551687064,3,5
1551690921,5,4
1551694521,4,2
1551701721,2,4
1551703805,1280,0
1551705321,4,7
1551709821,3,2
1551710402,512,768
1551712276,2,1
1551716116,2,3
1551716701,1,1
1551717602,1,0
1551719465,2,3
1551723602,5,2
1551724710,256,256
1551726302,256,256
1551726681,3,4
1551730516,3,2
1551733872,3,4
1551735302,256,256
1551737464,4,5
1551740702,256,256
1551741056,3,3
1551742502,256,256
1551745821,256,256
1551746702,29,2
1551748802,8,3
1551751875,5,3
1551755476,5,24
1551759086,3,9
1551760699,256,0
1551762668,3,5
1551766499,16,6
1551770102,6,2
1551770402,4096,66816
1551774002,1,4
1551777065,3,5
1551780683,0,4
1551784522,4,6
