DateTime,AddedIPs,RemovedIPs
1550099430,599,2645
1550110216,2277,0
1550124016,460,0
1550136618,203,0
1550148618,156,0
1550177417,232,0
1550190015,128,0
1550201416,175,342
1550213414,147,179
1550226018,294,183
1550239218,275,384
1550251818,198,0
1550264418,250,151
1550275817,158,191
1550288416,128,0
1550302815,115,701
1550316016,136,226
1550329817,229,225
1550343016,282,185
1550355016,158,155
1550366415,161,161
1550377815,129,193
1550389815,138,278
1550401218,109,433
1550412617,89,0
1550424617,110,415
1550435416,148,207
1550445616,305,156
1550457014,564,134
1550469015,235,238
1550481617,155,165
1550494218,139,140
1550506216,142,166
1550517617,145,217
1550528416,87,260
1550539215,86,275
1550550015,172,191
1550562014,342,232
1550574617,327,148
1550585416,302,170
1550598616,211,141
1550610616,150,104
1550622014,132,139
1550632815,129,184
1550644214,100,369
1550655018,114,193
1550665218,191,165
1550677216,311,179
1550687417,187,119
1550698217,194,126
1550707816,101,117
1550718615,150,0
1550730615,127,102
1550741417,106,128
1550752217,94,544
1550763616,105,203
1550776216,144,164
1550788815,212,88
1550799614,325,101
1550810414,205,124
1550821815,127,116
1550832616,160,120
1550843417,110,147
1550855416,97,315
1550865616,106,330
1550875815,70,260
1550886614,94,172
1550896814,228,120
1550908213,300,0
1550918417,158,253
1550929217,187,0
1550940017,166,140
1550952016,104,135
1550961615,73,107
1550971815,103,126
1550981415,104,231
1550992814,77,272
1551003017,155,156
1551013817,219,163
1551023416,243,144
1551034216,264,123
1551045016,132,81
1551054615,178,87
1551063014,82,108
1551073814,63,120
1551085217,89,166
1551094816,101,183
1551106816,133,234
1551117616,179,196
1551129016,189,116
1551139215,203,131
1551150014,168,43
1551159614,133,227
1551170416,154,0
1551180615,74,114
1551190216,90,124
1551202215,115,264
1551212415,73,248
1551222614,97,291
1551233414,186,215
1551241814,179,155
1551251413,237,179
1551262216,176,88
1551271216,169,105
1551280816,139,159
1551292216,79,122
1551301215,71,142
1551310215,90,255
1551318615,81,169
1551328815,85,0
1551337814,162,328
1551348017,219,0
1551358216,170,124
1551366017,206,224
1551373216,145,0
1551381016,149,94
1551390015,138,88
1551398416,66,70
