DateTime,Entries,UniqueIPs
1551304109,2503,2503
1551306013,2503,2503
1551307965,2480,2480
1551309892,2455,2455
1551311772,2428,2428
1551313695,3071,3071
1551315625,3043,3043
1551317557,3046,3046
1551319463,3036,3036
1551321395,3038,3038
1551323305,3047,3047
1551325214,3063,3063
1551327155,3093,3093
1551329052,3077,3077
1551331000,3066,3066
1551332890,3062,3062
1551334834,3064,3064
1551336737,3091,3091
1551338656,3082,3082
1551340587,3082,3082
1551342743,3085,3085
1551344654,3089,3089
1551346591,3097,3097
1551348523,3113,3113
1551350434,3127,3127
1551352340,1683,1683
1551354258,1704,1704
1551356191,2347,2347
1551358093,2353,2353
1551360014,2380,2380
1551361935,2363,2363
1551363855,2349,2349
1551365790,2355,2355
1551367690,2354,2354
1551369636,2360,2360
1551371558,2357,2357
1551373462,2366,2366
1551375389,2379,2379
1551377314,2375,2375
1551379211,2391,2391
1551381384,2397,2397
1551383288,2411,2411
1551385212,2425,2425
1551387152,2417,2417
1551389067,2429,2429
1551390989,2419,2419
1551393652,2414,2414
1551395560,2399,2399
1551397455,2404,2404
1551399641,2977,2977
1551401543,2983,2983
1551403459,3018,3018
1551405393,3027,3027
1551407320,3036,3036
1551409240,3042,3042
1551411156,3020,3020
1551413061,3009,3009
1551414971,2994,2994
1551417143,2984,2984
1551419071,2983,2983
1551420995,2984,2984
1551422891,2982,2982
1551424843,2976,2976
1551426752,2978,2978
1551428661,2981,2981
1551430592,2970,2970
1551432764,2956,2956
1551434677,2942,2942
1551436573,2928,2928
1551438523,1440,1440
1551440420,1406,1406
1551442360,2152,2152
1551444252,2164,2164
1551446172,2199,2199
1551448113,2205,2205
1551450009,2240,2240
1551451932,2271,2271
1551453869,2273,2273
1551455793,2260,2260
1551457961,2263,2263
1551459864,2282,2282
1551461794,2281,2281
1551464568,2290,2290
1551466417,2277,2277
1551468518,2279,2279
1551470408,2275,2275
1551472356,2274,2274
1551474250,2254,2254
1551476167,2244,2244
1551478112,2217,2217
1551480010,2194,2194
1551482178,2175,2175
1551484089,2144,2144
1551486032,2847,2847
1551487930,2840,2840
1551489852,2848,2848
1551491787,2853,2853
1551493715,2865,2865
1551495617,2851,2851
1551497555,2835,2835
1551499451,2824,2824
1551501613,2811,2811
1551503551,2804,2804
1551505448,2789,2789
1551507370,2769,2769
1551509538,2755,2755
1551511453,2746,2746
1551513367,2736,2736
1551515534,2724,2724
1551517453,2702,2702
1551519369,2681,2681
1551521558,2645,2645
1551523460,2624,2624
1551525389,1299,1299
1551527286,1317,1317
1551529237,1870,1870
1551531126,1881,1881
1551533052,1881,1881
1551534987,1894,1894
1551537161,1900,1900
1551539062,1906,1906
1551540987,1920,1920
1551542943,1921,1921
1551544836,1928,1928
1551546751,1942,1942
1551548673,1938,1938
1551551079,1946,1946
1551552968,1968,1968
1551555273,2005,2005
1551557309,2012,2012
1551559206,2033,2033
1551561129,2039,2039
1551563069,2059,2059
1551564971,2118,2118
1551566905,2126,2126
1551568816,2113,2113
1551570727,2109,2109
1551572651,2600,2600
1551574571,2593,2593
1551576491,2596,2596
1551578440,2585,2585
1551580359,2581,2581
1551582281,2584,2584
1551584169,2592,2592
1551586113,2590,2590
1551588030,2596,2596
1551590200,2596,2596
1551592091,2601,2601
1551594038,2594,2594
1551595936,2606,2606
1551597897,2614,2614
1551599767,2607,2607
1551601693,2606,2606
1551603638,2611,2611
1551605552,2622,2622
1551607472,2621,2621
1551609632,2627,2627
1551611534,1455,1455
1551613452,1457,1457
1551615391,1926,1926
1551617310,1948,1948
1551619228,1953,1953
1551621130,1963,1963
1551623057,1972,1972
1551624984,1993,1993
1551626887,2001,2001
1551628880,2013,2013
1551630755,2020,2020
1551632657,2028,2028
1551634571,2051,2051
1551636518,2060,2060
1551638431,2070,2070
1551640497,2112,2112
1551642625,2122,2122
1551644427,2130,2130
1551646356,2137,2137
1551648246,2139,2139
1551650183,2148,2148
1551652091,2158,2158
1551654018,2164,2164
1551655955,2157,2157
1551657868,2566,2566
1551659767,2580,2580
1551661712,2589,2589
1551663611,2578,2578
1551665532,2599,2599
1551667457,2596,2596
1551669386,2600,2600
1551671286,2605,2605
1551673209,2611,2611
1551675148,2602,2602
1551677049,2604,2604
1551678990,2613,2613
1551680890,2621,2621
1551682840,2624,2624
1551684841,2639,2639
1551686678,2644,2644
1551688638,2656,2656
1551690523,2660,2660
1551692410,2654,2654
1551694358,2664,2664
1551696249,2675,2675
1551698198,1374,1374
1551700102,1405,1405
1551702019,1942,1942
1551703950,1951,1951
1551705873,1958,1958
1551708097,1979,1979
1551709992,1985,1985
1551711879,2003,2003
1551713819,2011,2011
1551715744,2027,2027
1551717636,2037,2037
1551719535,2056,2056
1551721778,2046,2046
1551723627,2049,2049
1551725546,2064,2064
1551727453,2056,2056
1551729370,2082,2082
1551731291,2115,2115
1551733220,2138,2138
1551735159,2144,2144
1551737323,2156,2156
1551739231,2161,2161
1551741135,2164,2164
1551743051,2186,2186
1551744972,2677,2677
1551746913,2688,2688
1551748816,2683,2683
1551750732,2694,2694
1551752658,2700,2700
1551754589,2709,2709
1551756498,2711,2711
1551758422,2715,2715
1551760357,2716,2716
1551762522,2711,2711
1551764411,2704,2704
1551766333,2711,2711
1551768272,2704,2704
1551770193,2701,2701
1551772093,2709,2709
1551774015,2717,2717
1551775954,2718,2718
1551777856,2728,2728
1551779788,2738,2738
1551781692,2741,2741
1551783622,1519,1519
